"No.","Time","Source","Destination","Protocol","Length","Time since previous frame in this TCP stream","Time delta from previous captured frame","Sequence Number","TCP Flags","This is an ACK to the segment in frame","TCP payload","Payload","Header Length","Info"
"2694","10:11:16.470379","52.210.184.200","192.168.0.101","TCP","66","0.019855000","0.019855000","1939","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","","","","32","[TCP Keep-Alive ACK] 443  >  58088 [ACK] Seq=1939 Ack=6184 Win=425 Len=0 TSval=4097751672 TSecr=3282739969"
"2695","10:11:17.015007","192.168.0.101","34.240.107.124","TLSv1.2","97","4.639210000","0.544628000","1737","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","","170303001a00000000000005ee6c1d5323514ed0f5917e52405e55eb1bc603","","32","Application Data"
"2696","10:11:17.036824","34.240.107.124","192.168.0.101","TLSv1.2","97","0.021817000","0.021817000","1737","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","2695","170303001a00000000000005ef3e78f949bc32f0045744c62bbd22c6e58c1b","","32","Application Data"
"2697","10:11:17.037330","192.168.0.101","34.240.107.124","TCP","66","0.000506000","0.000506000","1768","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","2696","","","32","49730  >  443 [ACK] Seq=1768 Ack=1768 Win=1002 Len=0 TSval=2003313094 TSecr=916649029"
"2698","10:11:31.554539","192.168.0.101","52.210.184.200","TCP","66","15.084160000","14.517209000","6183","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","","","","32","[TCP Keep-Alive] 58088  >  443 [ACK] Seq=6183 Ack=1939 Win=8022 Len=0 TSval=3282770154 TSecr=4097751672"
"2699","10:11:31.575071","52.210.184.200","192.168.0.101","TCP","66","0.020532000","0.020532000","1939","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","","","","32","[TCP Keep-Alive ACK] 443  >  58088 [ACK] Seq=1939 Ack=6184 Win=425 Len=0 TSval=4097766778 TSecr=3282739969"
"2700","10:11:32.033340","192.168.0.1","239.255.255.250","SSDP","306","","0.458269000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2701","10:11:32.066463","192.168.0.101","34.240.107.124","TCP","66","15.029133000","0.033123000","1767","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","","","","32","[TCP Keep-Alive] 49730  >  443 [ACK] Seq=1767 Ack=1768 Win=1002 Len=0 TSval=2003328124 TSecr=916649029"
"2702","10:11:32.087666","34.240.107.124","192.168.0.101","TCP","66","0.021203000","0.021203000","1768","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","","","","32","[TCP Keep-Alive ACK] 443  >  49730 [ACK] Seq=1768 Ack=1768 Win=120 Len=0 TSval=916664080 TSecr=2003313094"
"2703","10:11:32.112356","192.168.0.1","224.0.0.1","IGMPv2","60","","0.024690000","","","","","","","Membership Query, general"
